property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft
House,120000000,DHA Defence,24.805045,67.064323,3,4,2019-06-30,3049.2
Flat,75000000,DHA Defence,24.752502,67.074019,5,4,2019-06-21,4301.55
House,95000000,Gulshan-e-Iqbal Town,24.90628,67.086254,5,5,2019-02-17,6534.0
Flat,35100000,Cantt,24.937425,67.182856,3,3,2019-06-20,3321.45
House,70000000,Cantt,24.959894,67.188631,6,6,2019-05-06,5989.500000000001
House,60000000,Cantt,24.937425,67.182856,5,4,2019-06-20,5445.0
Flat,48000000,Clifton,24.825028,67.031579,5,3,2019-07-03,2804.175
Flat,50000000,Clifton,24.82502747,67.03157806,5,3,2019-07-03,2804.175
House,110000000,Gulshan-e-Iqbal Town,24.90628,67.086254,6,6,2019-02-17,8167.5
House,12500000,Northern Bypass,25.07576,67.105412,5,4,2019-05-06,2994.75
House,9205000,Fazaia Housing Scheme,25.07588167,67.10603714,4,3,2019-05-06,2994.75
Flat,6100000,Gulshan-e-Iqbal Town,24.908304,67.080631,2,2,2019-03-10,1007.325
House,150000000,Gulshan-e-Iqbal Town,24.90628,67.086254,7,7,2019-02-17,10890.0
House,110000000,North Nazimabad,24.935635,67.05102,8,8,2019-07-03,8167.5
Flat,9500000,North Nazimabad,24.932405,67.030249,4,3,2019-02-17,1633.5
Flat,3500000,Abul Hassan Isphani Road,24.941817,67.098056,3,5,2019-06-27,1388.475
House,40000000,New Karachi,24.989559,67.067714,5,4,2019-01-18,1306.8
House,70000000,Cantt,24.937425,67.182856,6,5,2019-04-09,5445.0
Flat,22000000,DHA Defence,24.810265,67.04355,3,3,2019-05-06,2178.0
Flat,32000000,Khalid Bin Walid Road,24.874922,67.057322,4,4,2019-05-06,2776.95
House,70000000,Shaheed Millat Road,24.876976,67.069237,4,4,2019-05-06,2395.8
Flat,8500000,Scheme 33,24.962737,67.128568,3,3,2019-07-04,1824.075
