property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft,price_per_sqft,affordability_years,estimated_price_2026,affordability_years_2026,affordability_change,market_tier,price_per_marla,Month_Year
House,58000000,Malir,24.956491,67.219341,5,4,2019-06-20,3811.5,15217.106126197035,219.6969696969697,140998000.0,273.2519379844961,53.554968287526435,Affordable,4142857.1428571427,2019-06
House,110000000,Falcon Complex Faisal,24.865828,67.088388,5,5,2019-06-29,5445.0,20202.0202020202,416.6666666666667,267410000.0,518.2364341085271,101.56976744186039,Other,5500000.0,2019-06
House,119000000,Falcon Complex Faisal,24.865828,67.088388,5,5,2019-06-29,5445.0,21854.91276400367,450.75757575757575,289289000.0,560.6375968992248,109.88002114164908,Other,5950000.0,2019-06
House,115000000,Falcon Complex Faisal,24.865828,67.088388,5,5,2019-06-20,5445.0,21120.293847566576,435.6060606060606,279565000.0,541.7926356589147,106.1865750528541,Other,5750000.0,2019-06
House,59500000,Malir,24.956491,67.219341,5,4,2019-06-20,3811.5,15610.651974288337,225.37878787878788,144644500.0,280.3187984496124,54.94001057082454,Affordable,4250000.0,2019-06
House,19000000,Shahra-e-Faisal,24.86767062,67.1945917,4,4,2019-07-18,2613.6,7269.666360575452,71.96969696969697,46189000.0,89.51356589147287,17.543868921775896,Other,1979166.6666666667,2019-07
Flat,7550000,Gizri,24.820393,67.0468,2,2,2019-03-18,1415.7,5333.050787596242,28.598484848484848,18354050.0,35.56986434108527,6.971379492600423,Other,1451923.0769230768,2019-03
House,91500000,DHA Defence,24.79966354,67.0553894,6,5,2019-07-01,6534.0,14003.673094582186,346.59090909090907,222436500.0,431.07848837209303,84.48757928118397,Elite,3812500.0,2019-07
Flat,6900000,Scheme 33,24.969194,67.134492,3,4,2019-06-05,1660.725,4154.811904439326,26.136363636363637,16773900.0,32.507558139534886,6.37119450317125,Upper Middle,1131147.5409836066,2019-06
Flat,4500000,Gulistan-e-Jauhar,24.924636,67.141903,2,2,2018-10-20,1306.8,3443.526170798898,17.045454545454547,10939500.0,21.200581395348838,4.155126849894291,Middle Class,937500.0,2018-10
House,20000000,Gulshan-e-Iqbal Town,24.911726,67.098014,3,2,2019-01-18,1306.8,15304.560759106214,75.75757575757575,48620000.0,94.2248062015504,18.467230443974643,Middle Class,4166666.666666667,2019-01
House,72500000,Gulshan-e-Iqbal Town,24.910435,67.090523,6,6,2019-03-10,6534.0,11095.806550352005,274.6212121212121,176247500.0,341.56492248062017,66.94371035940804,Middle Class,3020833.3333333335,2019-03
House,85000000,Gulshan-e-Iqbal Town,24.910435,67.090523,6,6,2019-03-10,5445.0,15610.651974288337,321.969696969697,206635000.0,400.45542635658916,78.48572938689216,Middle Class,4250000.0,2019-03
House,60000000,Gulshan-e-Iqbal Town,24.899565,67.081322,4,4,2019-02-17,2640.825,22720.172673312318,227.27272727272728,145860000.0,282.6744186046512,55.4016913319239,Middle Class,6185567.010309279,2019-02
House,120000000,Gulshan-e-Iqbal Town,24.90628,67.086254,6,6,2019-02-17,6534.0,18365.472910927456,454.54545454545456,291720000.0,565.3488372093024,110.8033826638478,Middle Class,5000000.0,2019-02
Flat,45000000,DHA Defence,24.782215,67.074537,4,3,2019-06-30,2640.825,17040.129504984237,170.45454545454547,109395000.0,212.00581395348837,41.5512684989429,Elite,4639175.257731959,2019-06
Flat,35000000,DHA Defence,24.782215,67.074537,3,2,2019-06-30,2477.475,14127.286854559583,132.57575757575756,85085000.0,164.89341085271317,32.31765327695561,Elite,3846153.8461538465,2019-06
Flat,25000000,DHA Defence,24.752502,67.074019,1,1,2019-06-30,1633.5,15304.560759106214,94.6969696969697,60775000.0,117.78100775193798,23.084038054968275,Elite,4166666.6666666665,2019-06
Flat,30500000,DHA Defence,24.752502,67.074019,1,1,2019-06-20,1497.375,20368.979046664997,115.53030303030303,74145500.0,143.69282945736435,28.162526427061323,Elite,5545454.545454546,2019-06
House,100000000,Gulshan-e-Iqbal Town,24.899672,67.094536,9,9,2019-02-17,2613.6,38261.401897765536,378.7878787878788,243100000.0,471.1240310077519,92.3361522198731,Middle Class,10416666.666666668,2019-02
House,105000000,Navy Housing Scheme Karsaz,24.893299,67.103462,6,6,2019-06-07,3811.5,27548.209366391184,397.72727272727275,255255000.0,494.68023255813955,96.9529598308668,Upper Middle,7500000.0,2019-06
Flat,25000000,Jamshed Town,24.880013,67.057285,3,3,2019-03-10,2178.0,11478.42056932966,94.6969696969697,60775000.0,117.78100775193798,23.084038054968275,Middle Class,3125000.0,2019-03
House,75000000,Malir,24.956491,67.219341,5,5,2019-06-20,5445.0,13774.104683195592,284.09090909090907,182325000.0,353.34302325581393,69.25211416490487,Affordable,3750000.0,2019-06
House,55000000,Gulshan-e-Iqbal Town,24.910435,67.090523,3,5,2019-02-17,3648.15,15076.134479119553,208.33333333333334,133705000.0,259.11821705426354,50.784883720930196,Middle Class,4104477.611940298,2019-02
Flat,6000000,Bahria Town Karachi,24.894076,67.027715,2,2,2019-06-14,1143.45,5247.277974550701,22.727272727272727,14586000.0,28.267441860465116,5.540169133192389,Upper Middle,1428571.4285714284,2019-06
Flat,6200000,Bahria Town Karachi,24.894076,67.027715,2,2,2019-06-14,1143.45,5422.187240369059,23.484848484848484,15072200.0,29.20968992248062,5.724841437632136,Upper Middle,1476190.4761904762,2019-06
House,95000000,Cantt,24.959894,67.188631,6,7,2019-07-04,5989.500000000001,15861.090241255528,359.8484848484849,230945000.0,447.5678294573643,87.71934460887945,Elite,4318181.818181817,2019-07
House,20000000,Bahria Town Karachi,25.005301,67.30881,3,3,2019-04-06,2178.0,9182.736455463728,75.75757575757575,48620000.0,94.2248062015504,18.467230443974643,Upper Middle,2500000.0,2019-04
House,14500000,Bahria Town Karachi,25.00574,67.316385,5,5,2019-06-05,3811.5,3804.276531549259,54.92424242424242,35249500.0,68.31298449612403,13.388742071881609,Upper Middle,1035714.2857142857,2019-06
Flat,22500000,DHA Defence,24.791955,67.065082,3,3,2019-07-04,2178.0,10330.578512396694,85.22727272727273,54697500.0,106.00290697674419,20.77563424947145,Elite,2812500.0,2019-07
House,45000000,Gulistan-e-Jauhar,24.920687,67.116428,4,4,2019-07-01,2885.85,15593.32605644784,170.45454545454547,109395000.0,212.00581395348837,41.5512684989429,Middle Class,4245283.018867925,2019-07
House,21000000,Bahria Town Karachi,25.005301,67.30881,3,3,2019-06-05,2178.0,9641.873278236915,79.54545454545455,51051000.0,98.93604651162791,19.39059196617336,Upper Middle,2625000.0,2019-06
Flat,8500000,Jinnah Avenue,24.94093154,67.16148219,3,3,2019-03-18,2178.0,3902.6629935720844,32.196969696969695,20663500.0,40.04554263565891,7.848572938689216,Other,1062500.0,2019-03
House,85000000,Cantt,24.959894,67.188631,6,6,2019-06-14,5989.500000000001,14191.501794807578,321.969696969697,206635000.0,400.45542635658916,78.48572938689216,Elite,3863636.363636363,2019-06
Flat,25000000,DHA Defence,24.784203,67.08488,3,3,2019-05-06,2178.0,11478.42056932966,94.6969696969697,60775000.0,117.78100775193798,23.084038054968275,Elite,3125000.0,2019-05
Flat,3760000,PAF Housing Scheme,24.953678,67.18116,2,2,2018-10-20,1415.7,2655.9299286572013,14.242424242424242,9140560.0,17.71426356589147,3.471839323467229,Other,723076.923076923,2018-10
Flat,30000000,Gulshan-e-Iqbal Town,24.903565,67.081525,2,3,2019-02-17,1824.075,16446.692159039514,113.63636363636364,72930000.0,141.3372093023256,27.70084566596195,Middle Class,4477611.940298507,2019-02
House,72500000,North Nazimabad,24.941744,67.053638,8,8,2019-07-03,4900.5,14794.408733802673,274.6212121212121,176247500.0,341.56492248062017,66.94371035940804,Middle Class,4027777.777777778,2019-07
