property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft,price_per_sqft,affordability_years,estimated_price_2026,affordability_years_2026,affordability_change,market_tier,price_per_marla,Month_Year,median_ppsqft,pct_vs_median
House,13700000,Bahria Town Karachi,25.006938,67.308037,3,3,2019-06-27,1660.725,8249.409143596924,51.89393939393939,33304700.0,64.54399224806201,12.65005285412262,Upper Middle,2245901.6393442624,2019-06,5968.778696051423,38.20933165195462
Flat,32000000,Cantt,24.937425,67.182856,3,3,2019-02-17,3103.65,10310.4409324505,121.21212121212122,77792000.0,150.75968992248062,29.5475687103594,Elite,2807017.543859649,2019-02,11408.854384060996,-9.627727856225956
Flat,5100000,Bahria Town Karachi,25.020961,67.321172,2,2,2019-06-27,1143.45,4460.186278368096,19.318181818181817,12398100.0,24.02732558139535,4.7091437632135325,Upper Middle,1214285.7142857143,2019-06,5968.778696051423,-25.27472527472528
Flat,25500000,Jamshed Town,24.861596,67.05471,4,3,2019-06-30,1824.075,13979.688335183586,96.5909090909091,61990500.0,120.13662790697674,23.545718816067648,Middle Class,3805970.149253731,2019-06,10713.19253137435,30.490405117270775
Flat,5200000,Gulistan-e-Jauhar,24.93591,67.152597,2,2,2019-07-18,1143.45,4547.640911277274,19.696969696969692,12641200.0,24.4984496124031,4.801479915433404,Middle Class,1238095.238095238,2019-07,6427.91551882461,-29.251700680272126
Flat,17500000,Gulshan-e-Iqbal Town,24.8814518,67.06337807,3,3,2019-07-04,2178.0,8034.894398530762,66.28787878787878,42542500.0,82.44670542635659,16.158826638477805,Middle Class,2187500.0,2019-07,7482.229704451926,7.386363636363642
Flat,20000000,Jamshed Town,24.873867,67.03281,3,5,2019-07-18,2531.925,7899.128133732239,75.75757575757575,48620000.0,94.2248062015504,18.467230443974643,Middle Class,2150537.634408602,2019-07,10713.19253137435,-26.26728110599079
Upper Portion,1800000,Liaquatabad,24.90325356,67.05227661,1,1,2019-06-14,490.05,3673.094582185491,6.818181818181818,4375800.0,8.480232558139535,1.6620507399577171,Affordable,1000000.0,2019-06,4407.713498622589,-16.666666666666664
House,13000000,Gulshan-e-Iqbal Town,24.95618,67.115135,4,4,2019-05-06,1306.8,9947.96449341904,49.24242424242424,31603000.0,61.24612403100775,12.00369978858351,Middle Class,2708333.333333333,2019-05,7482.229704451926,32.954545454545475
Flat,6500000,Gulistan-e-Jauhar,24.912026,67.130733,3,3,2019-07-18,1633.5,3979.185797367616,24.62121212121212,15801500.0,30.62306201550388,6.001849894291755,Middle Class,1083333.3333333333,2019-07,6427.91551882461,-38.095238095238095
Flat,82500000,DHA Defence,24.75158774,67.07222692,4,4,2019-06-05,3865.95,21340.16218523261,312.5,200557500.0,388.67732558139534,76.17732558139534,Elite,5809859.154929577,2019-06,15610.651974288336,36.70256835128421
Flat,20500000,Clifton,24.832545,67.035949,2,2,2019-06-30,1606.275,12762.44727708518,77.65151515151516,49835500.0,96.58042635658914,18.928911205073987,Elite,3474576.2711864403,2019-06,12626.262626262624,1.0785824345146529
Flat,27000000,Clifton,24.832545,67.035949,3,3,2019-06-30,2368.575,11399.25904816187,102.27272727272728,65637000.0,127.20348837209302,24.930761099365757,Elite,3103448.2758620693,2019-06,12626.262626262624,-9.71786833855797
Flat,27000000,DHA Defence,24.752502,67.074019,1,1,2019-06-30,1579.05,17098.888572242806,102.27272727272728,65637000.0,127.20348837209302,24.930761099365757,Elite,4655172.413793104,2019-06,15610.651974288336,9.533468559837754
Flat,27000000,DHA Defence,24.752502,67.074019,1,1,2019-06-30,1579.05,17098.888572242806,102.27272727272728,65637000.0,127.20348837209302,24.930761099365757,Elite,4655172.413793104,2019-06,15610.651974288336,9.533468559837754
Flat,27000000,DHA Defence,24.752502,67.074019,1,1,2019-06-30,1579.05,17098.888572242806,102.27272727272728,65637000.0,127.20348837209302,24.930761099365757,Elite,4655172.413793104,2019-06,15610.651974288336,9.533468559837754
