label,precision,recall,f1,support
neutral,0.8229249011857708,0.6105571847507332,0.701010101010101,1705
anger,0.5013513513513513,0.726027397260274,0.5931254996003198,511
fear,0.125,0.14705882352941177,0.13513513513513514,34
happy,0.5787965616045845,0.7372262773722628,0.6484751203852327,548
sad,0.2426470588235294,0.32673267326732675,0.27848101265822783,101
surprise,0.17647058823529413,0.2903225806451613,0.21951219512195122,31
