Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
SP Narine (LQ),2017-2018,17,17,396,66.0,-,411,20,3/28,20.55,6.22,19.80,-,-
JP Faulkner (LQ/QG),2021-2022,12,12,264,44.0,-,352,19,3/19,18.52,8.00,13.89,-,-
Mohammad Ali (MS),2024-2024,12,12,258,43.0,1,354,19,3/19,18.63,8.23,13.57,-,-
Umer Khan (KK),2019-2020,17,15,306,51.0,-,397,19,3/22,20.89,7.78,16.10,-,-
Khurram Shahzad (PZ/QG),2021-2024,12,12,237,39.3,-,324,18,4/22,18.00,8.20,13.16,1,-
Zafar Gohar (IU/LQ),2016-2022,17,16,278,46.2,-,389,18,4/14,21.61,8.39,15.44,1,-
Akif Javed (IU/KK),2020-2023,16,15,297,49.3,-,420,18,4/28,23.33,8.48,16.50,1,-
Mohammad Hafeez (LQ/PZ/QG),2016-2023,78,35,445,74.1,1,510,18,2/7,28.33,6.87,24.72,-,-
Amad Butt (IU/PZ),2017-2022,22,20,368,61.2,-,587,18,4/27,32.61,9.57,20.44,1,-
S Mahmood (PZ),2020-2022,8,8,175,29.1,-,267,17,3/12,15.70,9.15,10.29,-,-
Shoaib Malik (KK/MS/PZ),2016-2024,91,49,653,108.5,-,757,17,3/16,44.52,6.95,38.41,-,-
AJ Hosein (MS/QG),2023-2024,13,13,306,51.0,-,406,16,4/23,25.37,7.96,19.12,1,-
Usman Qadir (MS/PZ),2020-2023,15,15,312,52.0,-,473,16,3/25,29.56,9.09,19.50,-,-
Hassan Khan (LQ/QG),2017-2022,28,28,464,77.2,-,583,16,2/10,36.43,7.53,29.00,-,-
GD Elliott (LQ/QG),2016-2017,13,13,204,34.0,-,249,15,4/15,16.60,7.32,13.60,2,-
Dilbar Hussain (LQ),2020-2023,12,12,225,37.3,-,316,15,4/24,21.06,8.42,15.00,1,-
RS Bopara (KK/MS/PZ),2016-2021,39,19,270,45.0,-,393,15,6/16,26.20,8.73,18.00,-,1
Zahid Mahmood (IU/KK/QG),2020-2024,15,15,323,53.5,-,459,15,2/17,30.60,8.52,21.53,-,-
Hussain Talat (IU/LQ/PZ),2017-2024,61,24,306,51.0,-,463,15,2/18,30.86,9.07,20.40,-,-
Zulfiqar Babar (QG),2016-2017,18,18,432,72.0,2,499,15,2/17,33.26,6.93,28.80,-,-
Aamer Jamal (PZ),2023-2024,14,14,274,45.4,-,463,14,3/43,33.07,10.13,19.57,-,-
Umar Gul (MS/QG),2016-2018,10,9,198,33.0,-,263,13,6/24,20.23,7.96,15.23,-,1
BCJ Cutting (KK/PZ/QG),2020-2023,27,13,196,32.4,-,356,13,3/31,27.38,10.89,15.07,-,-
Naveen-ul-Haq (PZ/QG),2023-2024,10,10,228,38.0,1,371,13,2/22,28.53,9.76,17.53,-,-
L Wood (PZ/QG),2022-2024,12,12,278,46.2,1,394,13,2/13,30.30,8.50,21.38,-,-
KA Pollard (KK/MS/PZ),2017-2024,53,24,310,51.4,-,454,13,3/37,34.92,8.78,23.84,-,-
Imran Khan (MS),2021-2022,10,10,214,35.4,1,308,12,3/24,25.66,8.63,17.83,-,-
CR Brathwaite (LQ/MS/PZ),2019-2024,18,17,293,48.5,1,425,12,3/28,35.41,8.70,24.41,-,-
Iftikhar Ahmed (IU/KK/MS/PZ/QG),2016-2024,70,33,318,53.0,-,451,12,2/4,37.58,8.50,26.50,-,-
Fazalhaq Farooqi (IU),2023-2023,6,6,139,23.1,-,183,11,3/25,16.63,7.89,12.63,-,-
S Lamichhane (LQ),2019-2019,7,7,148,24.4,-,189,11,4/10,17.18,7.66,13.45,1,-
NLTC Perera (KK/QG),2017-2021,10,10,157,26.1,-,235,11,3/34,21.36,8.98,14.27,-,-
Ghulam Mudassar (LQ/QG),2017-2022,11,11,226,37.4,-,386,11,3/21,35.09,10.24,20.54,-,-
DJ Bravo (LQ/QG),2016-2019,14,14,306,51.0,-,425,11,3/19,38.63,8.33,27.81,-,-
Imran Khalid (IU),2016-2017,12,11,169,28.1,1,199,10,4/20,19.90,7.06,16.90,1,-
Azmatullah Omarzai (PZ),2023-2023,6,6,140,23.2,-,229,10,3/28,22.90,9.81,14.00,-,-
T Shamsi (KK),2023-2024,8,8,186,31.0,-,260,10,3/18,26.00,8.38,18.60,-,-
SW Tait (PZ),2016-2016,9,9,210,35.0,1,262,10,2/23,26.20,7.48,21.00,-,-
CS Delport (IU/KK/LQ/QG),2016-2021,39,14,191,31.5,-,289,10,3/18,28.90,9.07,19.10,-,-
Sikandar Raza (KK/LQ),2019-2024,23,18,239,39.5,1,329,10,2/6,32.90,8.25,23.90,-,-
Mohammad Umar (KK/MS/PZ),2021-2023,10,10,209,34.5,-,330,10,3/22,33.00,9.47,20.90,-,-
Mohammad Imran (KK/LQ/PZ),2021-2024,15,15,327,54.3,-,474,10,2/47,47.40,8.69,32.70,-,-
Mohammad Nabi (KK/QG),2016-2022,22,21,416,69.2,-,505,10,2/17,50.50,7.28,41.60,-,-
Ibtisam Sheikh (PZ),2018-2019,8,8,144,24.0,-,178,9,3/20,19.77,7.41,16.00,-,-
Saim Ayub (PZ/QG),2021-2024,30,11,162,27.0,-,206,9,2/15,22.88,7.62,18.00,-,-
DT Christian (KK/MS),2019-2021,13,10,137,22.5,-,247,9,3/19,27.44,10.81,15.22,-,-
Qais Ahmad (QG),2021-2023,6,6,138,23.0,-,247,9,3/21,27.44,10.73,15.33,-,-
