Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s
Ahsan Ali (QG),2019-2022,19,18,1,444,73,26.11,335,132.53,-,3,-,49
J Charles (MS),2019-2024,18,16,1,435,57,29.00,283,153.71,-,3,2,45
Kamran Ghulam (IU/LQ),2016-2024,21,20,1,419,55*,22.05,361,116.06,-,1,1,36
SW Billings (IU/LQ),2016-2023,20,19,3,402,78*,25.12,306,131.37,-,2,2,38
Hazratullah Zazai (PZ),2021-2022,12,12,-,382,77,31.83,250,152.80,-,4,2,45
CH Gayle (KK/LQ/QG),2016-2021,16,16,-,370,68,23.12,271,136.53,-,2,2,24
Wahab Riaz (PZ),2016-2023,88,54,21,359,33*,10.87,280,128.21,-,-,10,31
JL Denly (KK/LQ),2018-2021,14,13,1,354,79*,29.50,287,123.34,-,3,2,42
Mohammad Nabi (KK/QG),2016-2022,22,18,4,350,67,25.00,245,142.85,-,2,1,31
Sikandar Raza (KK/LQ),2019-2024,23,22,7,337,71*,22.46,230,146.52,-,1,1,29
Umar Amin (IU/PZ/QG),2016-2021,21,18,4,332,61*,23.71,307,108.14,-,2,2,36
Shaheen Shah Afridi (LQ),2018-2024,71,35,9,328,55,12.61,233,140.77,-,2,7,18
BJ Haddin (IU),2016-2017,17,17,4,327,73,25.15,250,130.80,-,4,2,25
Saud Shakeel (QG),2024-2024,10,10,1,323,88*,35.88,228,141.66,-,2,1,31
Anwar Ali (KK/MS/QG),2016-2024,50,36,14,323,28*,14.68,229,141.04,-,-,-,19
Sohail Tanvir (KK/LQ/MS/QG),2016-2022,61,37,18,321,36*,16.89,295,108.81,-,-,2,22
CA Lynn (LQ/MS),2020-2021,12,12,1,318,113*,28.90,183,173.77,1,1,2,38
Rahmanullah Gurbaz (IU/MS),2021-2023,15,15,1,318,62,22.71,199,159.79,-,1,1,28
WCF Smeed (QG),2022-2023,10,10,-,315,99,31.50,234,134.61,-,2,1,36
BB McCullum (LQ),2017-2018,18,17,2,311,44,20.73,272,114.33,-,-,3,28
RR Hendricks (MS),2024-2024,8,8,1,304,79*,43.42,226,134.51,-,3,-,34
JM Clarke (KK),2021-2022,13,12,1,295,54,26.81,215,137.20,-,2,1,25
Asad Shafiq (MS/QG),2016-2020,17,16,1,280,51,18.66,267,104.86,-,1,1,31
AP Devcich (LQ),2018-2019,10,10,-,279,70,27.90,205,136.09,-,2,-,26
Yasir Khan (MS/PZ/QG),2022-2024,14,13,-,270,54,20.76,214,126.16,-,1,-,34
PR Stirling (IU),2021-2023,10,10,-,266,58,26.60,160,166.25,-,3,-,33
HC Brook (LQ),2022-2022,10,8,3,264,102*,52.80,154,171.42,1,-,-,23
Irfan Khan (KK),2023-2024,17,15,7,263,39*,32.87,190,138.42,-,-,1,27
Mirza Baig (LQ),2023-2024,12,12,-,260,54,21.66,211,123.22,-,1,-,30
JP Duminy (IU),2018-2018,10,9,2,251,73*,35.85,249,100.80,-,2,-,22
Hasan Ali (IU/KK/PZ),2016-2024,82,40,12,251,45,8.96,183,137.15,-,-,3,20
UT Khawaja (IU),2021-2021,7,7,2,246,105*,49.20,161,152.79,1,1,1,31
DA Miller (MS/PZ),2021-2023,11,9,1,235,73,29.37,163,144.17,-,2,-,19
Zeeshan Ashraf (LQ/MS),2020-2022,16,14,-,226,52,16.14,180,125.55,-,2,-,26
MS Wade (KK),2023-2023,9,9,1,224,53,28.00,185,121.08,-,1,1,29
Tayyab Tahir (KK/MS),2023-2024,11,9,2,222,65,31.71,151,147.01,-,1,-,26
AB de Villiers (LQ),2019-2019,7,7,3,218,52*,54.50,169,128.99,-,1,-,19
SP Narine (LQ),2017-2018,17,15,2,214,28,16.46,130,164.61,-,-,1,17
LMP Simmons (KK),2016-2018,8,8,1,210,62*,30.00,187,112.29,-,2,-,26
Khalid Latif (IU),2016-2016,9,7,1,206,59,34.33,173,119.07,-,1,-,11
PD Salt (IU/LQ),2019-2022,19,18,1,204,46,12.00,172,118.60,-,-,1,26
Rashid Khan (LQ),2021-2023,28,20,9,203,27*,18.45,147,138.09,-,-,3,16
L Gregory (IU/KK/PZ),2020-2022,13,12,4,189,49*,23.62,143,132.16,-,-,-,17
Khurram Manzoor (KK/QG),2018-2020,8,7,-,184,63,26.28,162,113.58,-,2,-,21
Azhar Ali (LQ),2016-2016,7,7,-,183,61,26.14,172,106.39,-,1,-,22
TL Seifert (KK),2024-2024,7,7,-,182,49,26.00,137,132.84,-,-,-,23
Khawaja Nafay (QG),2024-2024,10,10,2,182,60*,22.75,150,121.33,-,1,-,11
LJ Wright (QG),2016-2017,7,7,1,181,86*,30.16,141,128.36,-,1,-,20
Shakib Al Hasan (KK/PZ),2016-2023,14,13,2,181,51,16.45,169,107.10,-,1,-,11
Haseebullah Khan (PZ),2023-2024,14,12,1,177,50,16.09,124,142.74,-,1,1,18
AD Russell (IU/MS/QG),2016-2021,19,17,2,173,35*,11.53,128,135.15,-,-,1,14
Omair Yousuf (QG),2023-2024,6,5,-,172,67,34.40,117,147.00,-,2,-,16
Najibullah Zadran (KK/QG),2021-2023,7,7,1,171,71*,28.50,126,135.71,-,2,1,11
Umar Siddiq (MS),2019-2019,7,7,-,169,53,24.14,150,112.66,-,1,-,13
Aamer Jamal (PZ),2023-2024,14,13,5,167,87,20.87,110,151.81,-,1,-,15
EJG Morgan (KK/PZ),2017-2018,9,9,1,164,80*,20.50,160,102.50,-,1,-,17
ADS Fletcher (PZ),2018-2019,9,9,-,158,34,17.55,138,114.49,-,-,-,14
Haris Sohail (LQ/PZ),2017-2019,11,11,2,153,43,17.00,178,85.95,-,-,1,11
Aamer Yamin (KK/LQ/PZ),2016-2023,34,16,3,153,35*,11.76,115,133.04,-,-,3,8
DT Christian (KK/MS),2019-2021,13,10,3,152,27,21.71,103,147.57,-,-,-,14
Umaid Asif (KK/PZ/QG),2018-2023,47,18,9,151,25,16.77,94,160.63,-,-,3,11
J Weatherald (QG),2021-2021,5,5,-,148,48,29.60,118,125.42,-,-,-,16
Mohammad Wasim (IU/QG),2021-2024,33,20,7,145,17*,11.15,119,121.84,-,-,1,10
Sohail Khan (KK/LQ/MS/PZ/QG),2016-2024,44,24,7,144,32,8.47,149,96.64,-,-,4,7
CJ Jordan (KK/MS/PZ),2017-2024,33,21,12,142,36,15.77,115,123.47,-,-,4,10
JP Faulkner (LQ/QG),2021-2022,12,8,3,139,33,27.80,80,173.75,-,-,-,7
GD Elliott (LQ/QG),2016-2017,13,12,2,139,40,13.90,134,103.73,-,-,2,8
MM Ali (MS),2020-2020,9,9,1,138,65,17.25,106,130.18,-,1,1,13
SD Hope (LQ),2023-2024,8,8,-,137,47,17.12,114,120.17,-,-,-,10
Hassan Khan (LQ/QG),2017-2022,28,17,8,137,24,15.22,123,111.38,-,-,3,8
DJ Bravo (LQ/QG),2016-2019,14,12,5,134,32,19.14,127,105.51,-,-,2,12
Rohail Nazir (IU/KK/MS),2020-2022,9,8,-,128,34,16.00,103,124.27,-,-,-,17
Muhammad Akhlaq (IU/KK),2021-2024,10,9,-,128,51,14.22,98,130.61,-,1,1,15
Amad Butt (IU/PZ),2017-2022,22,14,5,127,27*,14.11,88,144.31,-,-,2,9
Qasim Akram (KK),2021-2023,9,8,1,126,51*,18.00,90,140.00,-,1,-,11
Mohammad Amir (KK/QG),2016-2024,75,26,12,125,23,8.92,105,119.04,-,-,3,17
AJ Hosein (MS/QG),2023-2024,13,10,4,115,31,19.16,95,121.05,-,-,-,6
