Player,Overs,Mdns,Runs,Wkts,Econ,Team,Inns,Opposition,Ground,Match Date
Mohammad Wasim,4.0,-,31,4,7.75,United,1,v Sultans,Abu Dhabi,19 Jun 2021
Shaheen Shah Afridi,4.0,-,31,4,7.75,Qalandars,1,v Zalmi,Rawalpindi,07 Mar 2023
SR Patel,4.0,-,34,4,8.50,United,2,v Zalmi,Dubai (DICS),09 Mar 2018
Mohammad Hasnain,3.0,-,34,4,11.33,Gladiators,1,v Zalmi,Rawalpindi,05 Mar 2020
Khushdil Shah,4.0,-,35,4,8.75,Sultans,2,v United,Karachi,01 Feb 2022
Waqas Maqsood,4.0,-,35,4,8.75,United,1,v Qalandars,Karachi,05 Feb 2022
Zaman Khan,3.5,-,37,4,9.65,Qalandars,2,v United,Rawalpindi,06 Mar 2024
Ehsan Adil,4.0,-,39,4,9.75,Qalandars,2,v Gladiators,Dubai (DICS),16 Feb 2016
Abbas Afridi,4.0,-,39,4,9.75,Sultans,1,v Zalmi,Rawalpindi,10 Mar 2023
SR Watson,4.0,-,44,4,11.00,United,1,v Zalmi,Dubai (DICS),09 Feb 2017
Shaheen Shah Afridi,4.0,-,51,4,12.75,Qalandars,2,v Sultans,Lahore,18 Mar 2023
Mohammad Amir,2.2,-,7,3,3.00,Kings,2,v United,Sharjah,01 Mar 2017
Imran Tahir,2.0,1,7,3,3.50,Sultans,2,v Gladiators,Abu Dhabi,16 Jun 2021
Usman Shinwari,4.0,-,11,3,2.75,Kings,1,v Zalmi,Sharjah,15 Mar 2018
Faheem Ashraf,4.0,-,11,3,2.75,United,1,v Gladiators,Karachi,01 Mar 2021
S Mahmood,2.1,-,12,3,5.53,Zalmi,1,v United,Karachi,27 Feb 2021
Imad Wasim,4.0,-,12,3,3.00,United,2,v Gladiators,Karachi,15 Mar 2024
Shadab Khan,3.0,-,13,3,4.33,United,2,v Kings,Dubai (DICS),26 Feb 2017
Mohammad Hasnain,4.0,1,13,3,3.25,Gladiators,2,v Zalmi,Karachi,20 Feb 2023
Khurram Shahzad,1.4,-,13,3,7.80,Zalmi,2,v United,Rawalpindi,12 Mar 2023
Rumman Raees,3.5,-,14,3,3.65,United,1,v Sultans,Dubai (DICS),25 Feb 2018
Sohail Tanvir,3.0,-,14,3,4.66,Sultans,1,v Gladiators,Sharjah,03 Mar 2018
Sohail Tanvir,4.0,-,14,3,3.50,Sultans,2,v Zalmi,Dubai (DICS),06 Mar 2018
Shaheen Shah Afridi,4.0,1,14,3,3.50,Qalandars,1,v Zalmi,Karachi,21 Feb 2021
Khurram Shahzad,3.0,-,14,3,4.66,Gladiators,2,v Qalandars,Abu Dhabi,15 Jun 2021
Abrar Ahmed,4.0,-,14,3,3.50,Zalmi,1,v Kings,Abu Dhabi,15 Jun 2021
Fawad Ahmed,4.0,-,15,3,3.75,Gladiators,1,v United,Dubai (DICS),17 Feb 2019
Hasan Ali,3.2,-,15,3,4.50,Zalmi,2,v Kings,Karachi,11 Mar 2019
Rashid Khan,4.0,-,15,3,3.75,Qalandars,2,v Sultans,Lahore,04 Mar 2023
Mohammad Asghar,4.0,-,16,3,4.00,Zalmi,2,v Gladiators,Lahore,05 Mar 2017
Arshad Iqbal,4.0,1,16,3,4.00,Kings,1,v Gladiators,Karachi,20 Feb 2021
Imran Tahir,4.0,-,16,3,4.00,Sultans,1,v Kings,Karachi,27 Jan 2022
Khushdil Shah,4.0,-,16,3,4.00,Sultans,2,v Gladiators,Karachi,31 Jan 2022
LA Dawson,4.0,-,16,3,4.00,United,2,v Sultans,Lahore,20 Feb 2022
Imad Wasim,4.0,1,16,3,4.00,Kings,1,v Gladiators,Karachi,18 Feb 2023
Shoaib Malik,3.3,-,16,3,4.57,Kings,2,v Sultans,Karachi,26 Feb 2023
BAW Mendis,3.0,-,17,3,5.66,Qalandars,2,v Gladiators,Dubai (DICS),08 Feb 2016
Wahab Riaz,3.3,-,17,3,4.85,Zalmi,1,v Gladiators,Dubai (DICS),19 Feb 2016
Aamer Yamin,4.0,-,17,3,4.25,Qalandars,1,v United,Sharjah,20 Feb 2017
