Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Fakhar Zaman (LQ),2017-2024,84,84,1,2525,115,30.42,1800,140.27,2,19,5,237,104
Asif Ali (IU/PZ),2016-2024,82,72,18,1202,75,22.25,768,156.51,-,3,3,70,90
Kamran Akmal (PZ),2016-2022,75,74,2,1972,107*,27.38,1440,136.94,3,12,8,213,89
Shoaib Malik (KK/MS/PZ),2016-2024,91,87,17,2336,73,33.37,1824,128.07,-,15,4,169,82
SR Watson (IU/QG),2016-2020,46,46,4,1361,91*,32.40,982,138.59,-,9,2,123,81
RR Rossouw (MS/QG),2017-2024,84,80,17,2015,121,31.98,1412,142.70,2,10,4,192,79
KA Pollard (KK/MS/PZ),2017-2024,53,48,18,1149,73,38.30,708,162.28,-,6,2,79,77
Sharjeel Khan (IU/KK),2016-2023,49,48,2,1127,117,24.50,805,140.00,2,4,5,101,74
C Munro (IU/KK),2019-2024,47,47,4,1417,90*,32.95,941,150.58,-,12,4,131,71
Shadab Khan (IU),2017-2024,84,70,9,1240,91,20.32,890,139.32,-,8,7,84,66
Mohammad Hafeez (LQ/PZ/QG),2016-2023,78,74,11,1731,98*,27.47,1391,124.44,-,9,5,159,66
Azam Khan (IU/QG),2019-2024,54,50,5,1140,97,25.33,776,146.90,-,6,5,100,63
Umar Akmal (LQ/QG),2016-2023,43,40,6,1029,93,30.26,713,144.31,-,8,3,78,60
Mohammad Rizwan (KK/LQ/MS),2016-2024,83,72,14,2403,110*,41.43,1885,127.48,1,20,5,216,60
Babar Azam (IU/KK/PZ),2016-2024,90,88,11,3504,115,45.50,2750,127.41,2,33,8,386,58
Iftikhar Ahmed (IU/KK/MS/PZ/QG),2016-2024,70,61,18,1036,71*,24.09,780,132.82,-,5,4,74,51
L Ronchi (IU),2018-2020,31,31,3,1020,94*,36.42,614,166.12,-,10,4,116,50
Sohaib Maqsood (IU/LQ/MS/PZ),2016-2023,45,43,8,1045,85*,29.85,810,129.01,-,8,3,90,50
JJ Roy (LQ/QG),2017-2024,38,38,3,1260,145*,36.00,860,146.51,2,8,3,149,44
DJG Sammy (PZ),2016-2020,49,39,12,691,48,25.59,472,146.39,-,-,2,48,44
TH David (LQ/MS),2021-2023,22,22,8,605,71,43.21,337,179.52,-,4,-,40,43
Imad Wasim (IU/KK),2016-2024,90,72,26,1212,92*,26.34,869,139.47,-,6,12,112,43
AD Hales (IU/KK),2018-2024,44,42,2,1180,82*,29.50,837,140.97,-,6,3,135,42
Saim Ayub (PZ/QG),2021-2024,30,30,-,800,88,26.66,530,150.94,-,7,3,77,41
D Wiese (KK/LQ),2018-2024,53,45,20,629,48*,25.16,388,162.11,-,-,3,40,41
CA Ingram (IU/KK),2018-2021,37,35,8,819,127*,30.33,558,146.77,1,3,2,69,40
SE Rutherford (KK/PZ/QG),2020-2024,30,29,7,588,70*,26.72,399,147.36,-,3,2,39,39
