player,runs,mins,balls,4s,6s,sr,team,opposition,ground,is_not_out,match_date,match_year,match_month
Shan Masood,88.0,91.0,58,6,4.0,151.72,Multan Sultans,Quetta Gladiators,Karachi,False,2022-01-31,2022,1
Saim Ayub,88.0,89.0,55,8,4.0,160.0,Peshawar Zalmi,Lahore Qalandars,Lahore,False,2024-02-25,2024,2
C Munro,87.0,,59,8,3.0,147.45,Islamabad United,Lahore Qalandars,Lahore,True,2020-03-04,2020,3
Aamer Jamal,87.0,60.0,49,8,6.0,177.55,Peshawar Zalmi,Islamabad United,Rawalpindi,False,2024-03-04,2024,3
LJ Wright,86.0,,53,11,4.0,162.26,Quetta Gladiators,Islamabad United,Dubai (DICS),True,2016-02-04,2016,2
MJ Guptill,86.0,105.0,56,9,4.0,153.57,Quetta Gladiators,Karachi Kings,Rawalpindi,True,2023-03-06,2023,3
Kamran Akmal,86.0,,48,10,5.0,179.16,Peshawar Zalmi,Karachi Kings,Karachi,False,2019-03-11,2019,3
BJ Hodge,85.0,,45,6,6.0,188.88,Peshawar Zalmi,Karachi Kings,Dubai (DICS),True,2016-02-17,2016,2
Sohaib Maqsood,85.0,,42,4,7.0,202.38,Multan Sultans,Peshawar Zalmi,Dubai (DICS),True,2018-03-06,2018,3
L Ronchi,85.0,,58,9,2.0,146.55,Islamabad United,Karachi Kings,Rawalpindi,True,2020-03-01,2020,3
Babar Azam,85.0,,63,5,4.0,134.92,Karachi Kings,Multan Sultans,Abu Dhabi,True,2021-06-10,2021,6
Azam Khan,85.0,81.0,45,6,7.0,188.88,Islamabad United,Peshawar Zalmi,Lahore,False,2022-02-17,2022,2
Mohammad Haris,85.0,86.0,54,11,2.0,157.4,Peshawar Zalmi,Lahore Qalandars,Lahore,False,2023-03-17,2023,3
JM Vince,84.0,,41,7,6.0,204.87,Multan Sultans,Lahore Qalandars,Sharjah,False,2019-02-22,2019,2
JM Vince,84.0,87.0,55,9,3.0,152.72,Multan Sultans,Peshawar Zalmi,Karachi,False,2021-02-23,2021,2
C Munro,84.0,82.0,40,9,5.0,210.0,Islamabad United,Multan Sultans,Rawalpindi,False,2024-03-10,2024,3
Mohammad Rizwan,83.0,108.0,54,7,3.0,153.7,Multan Sultans,Quetta Gladiators,Lahore,True,2022-02-18,2022,2
Fakhar Zaman,83.0,88.0,54,8,4.0,153.7,Lahore Qalandars,Karachi Kings,Karachi,False,2021-02-28,2021,2
Shan Masood,83.0,,50,14,1.0,166.0,Multan Sultans,Lahore Qalandars,Karachi,False,2022-01-29,2022,1
Fakhar Zaman,82.0,95.0,52,8,2.0,157.69,Lahore Qalandars,Quetta Gladiators,Karachi,True,2021-02-22,2021,2
Mohammad Rizwan,82.0,,56,9,2.0,146.42,Multan Sultans,Peshawar Zalmi,Abu Dhabi,True,2021-06-13,2021,6
AD Hales,82.0,,54,13,1.0,151.85,Islamabad United,Peshawar Zalmi,Karachi,True,2022-01-30,2022,1
LS Livingstone,82.0,,43,6,6.0,190.69,Karachi Kings,Multan Sultans,Dubai (DICS),False,2019-02-15,2019,2
Mohammad Rizwan,82.0,95.0,53,8,1.0,154.71,Multan Sultans,Peshawar Zalmi,Karachi,False,2022-02-05,2022,2
JJ Roy,82.0,92.0,64,11,,128.12,Quetta Gladiators,Karachi Kings,Lahore,False,2022-02-20,2022,2
Mohammad Rizwan,82.0,93.0,59,9,3.0,138.98,Multan Sultans,Lahore Qalandars,Multan,False,2024-02-21,2024,2
C Munro,82.0,69.0,47,8,4.0,174.46,Islamabad United,Karachi Kings,Karachi,False,2024-02-28,2024,2
SR Watson,81.0,,55,6,4.0,147.27,Quetta Gladiators,Islamabad United,Dubai (DICS),True,2019-02-17,2019,2
Sarfaraz Ahmed,81.0,63.0,40,12,1.0,202.5,Quetta Gladiators,Peshawar Zalmi,Karachi,False,2021-02-26,2021,2
Usman Khan,81.0,64.0,50,10,3.0,162.0,Quetta Gladiators,Multan Sultans,Karachi,False,2021-03-03,2021,3
Babar Azam,81.0,,54,7,3.0,150.0,Karachi Kings,Islamabad United,Abu Dhabi,False,2021-06-14,2021,6
Tamim Iqbal,80.0,,58,6,3.0,137.93,Peshawar Zalmi,Islamabad United,Sharjah,True,2016-02-12,2016,2
EJG Morgan,80.0,,57,8,3.0,140.35,Peshawar Zalmi,Karachi Kings,Dubai (DICS),True,2017-02-10,2017,2
AD Hales,80.0,,48,6,5.0,166.66,Karachi Kings,Lahore Qalandars,Lahore,True,2020-03-08,2020,3
Imad Wasim,80.0,89.0,47,7,4.0,170.21,Karachi Kings,Peshawar Zalmi,Karachi,True,2023-02-14,2023,2
SR Watson,80.0,,41,7,7.0,195.12,Quetta Gladiators,Multan Sultans,Multan,False,2020-02-29,2020,2
Shadab Khan,80.0,63.0,51,4,6.0,156.86,Islamabad United,Peshawar Zalmi,Rawalpindi,False,2024-03-04,2024,3
Sharjeel Khan,79.0,,43,5,7.0,183.72,Islamabad United,Lahore Qalandars,Sharjah,True,2016-02-10,2016,2
