matches,innings,not_outs,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,fours,player_name,teams_played,num_teams,span_start,span_end,career_yrs,hs_not_out,runs_per_match,boundary_runs,boundary_pct,innings_per_match,not_out_rate,duck_rate,conversion_rate,career_stage,franchise_loyalty,bat_efficiency_score
18,12,6,111,22.0,18.5,74,150.0,0,0,0,10,CR Brathwaite,LQ/MS/PZ,3,2019,2024,5,True,6.17,40,36.0,0.667,50.0,0.0,,Developing,Versatile,26.0
5,5,2,110,42.0,36.66,121,90.9,0,0,0,8,Gulraiz Sadaf,LQ,1,2018,2018,0,True,22.0,32,29.1,1.0,40.0,0.0,,Single Season,Loyal,25.98
6,5,0,107,37.0,21.4,87,122.98,0,0,0,9,F du Plessis,PZ/QG,2,2020,2021,1,False,17.83,36,33.6,0.833,0.0,0.0,,Early Career,Versatile,21.26
6,5,1,106,41.0,26.5,86,123.25,0,0,0,7,JM Cox,IU,1,2024,2024,0,False,17.67,28,26.4,0.833,20.0,0.0,,Single Season,Loyal,25.76
3,3,0,104,69.0,34.66,69,150.72,0,1,0,16,AM Rossington,KK,1,2023,2023,0,False,34.67,64,61.5,1.0,0.0,0.0,0.0,Single Season,Loyal,40.17
9,9,0,103,49.0,11.44,116,88.79,0,0,1,10,LJ Evans,MS/QG,2,2019,2024,5,False,11.44,40,38.8,1.0,0.0,11.1,,Developing,Versatile,3.43
9,6,1,99,27.0,19.8,97,102.06,0,0,0,9,Shahid Yousuf,PZ,1,2016,2016,0,True,11.0,36,36.4,0.667,16.7,0.0,,Single Season,Loyal,14.2
5,5,1,97,41.0,24.25,66,146.96,0,0,0,11,PBB Rajapaksa,PZ,1,2023,2023,0,False,19.4,44,45.4,1.0,20.0,0.0,,Single Season,Loyal,30.04
8,8,1,96,31.0,13.71,94,102.12,0,0,0,11,MH Wessels,KK/LQ/PZ,3,2016,2019,3,True,12.0,44,45.8,1.0,12.5,0.0,,Developing,Versatile,8.89
12,12,4,94,29.0,11.75,95,98.94,0,0,3,7,Hammad Azam,LQ/MS/PZ,3,2016,2021,5,False,7.83,28,29.8,1.0,33.3,25.0,,Developing,Versatile,6.32
