team,overs,rr,inns,opposition,ground,runs,wickets,match_date,match_year,won
Quetta Gladiators,20.0,6.5,2,Karachi Kings,Dubai (DICS),130,9,2018-02-23,2018,False
Karachi Kings,20.0,6.5,2,Multan Sultans,Multan,130,8,2024-02-18,2024,False
Multan Sultans,19.3,6.66,2,Lahore Qalandars,Lahore,130,10,2022-02-11,2022,False
Peshawar Zalmi,20.0,6.55,1,Karachi Kings,Dubai (DICS),131,9,2018-02-25,2018,False
Islamabad United,20.0,6.55,2,Lahore Qalandars,Lahore,131,9,2022-02-19,2022,False
Quetta Gladiators,20.0,6.55,2,Lahore Qalandars,Lahore,131,7,2023-03-02,2023,False
Quetta Gladiators,16.2,8.02,2,Lahore Qalandars,Dubai (DICS),131,10,2016-02-08,2016,False
Islamabad United,20.0,6.6,1,Karachi Kings,Dubai (DICS),132,8,2016-02-07,2016,True
Peshawar Zalmi,20.0,6.6,2,Quetta Gladiators,Dubai (DICS),132,9,2016-02-19,2016,False
Lahore Qalandars,18.3,7.13,2,Karachi Kings,Dubai (DICS),132,10,2018-02-26,2018,False
Lahore Qalandars,20.0,6.65,1,Karachi Kings,Dubai (DICS),133,5,2019-02-28,2019,False
Quetta Gladiators,20.0,6.65,1,Islamabad United,Abu Dhabi,133,10,2021-06-11,2021,False
Quetta Gladiators,19.3,6.82,1,Peshawar Zalmi,Dubai (DICS),133,10,2016-02-19,2016,True
Islamabad United,20.0,6.7,1,Quetta Gladiators,Sharjah,134,7,2018-02-28,2018,False
Lahore Qalandars,20.0,6.7,1,Karachi Kings,Karachi,134,7,2020-11-17,2020,False
Karachi Kings,17.0,7.88,2,Multan Sultans,Multan,134,10,2020-02-28,2020,False
Peshawar Zalmi,20.0,6.75,1,Quetta Gladiators,Dubai (DICS),135,7,2016-02-07,2016,False
Karachi Kings,20.0,6.75,2,Islamabad United,Karachi,135,9,2022-02-06,2022,False
Lahore Qalandars,20.0,6.75,2,Multan Sultans,Lahore,135,9,2022-02-23,2022,False
Quetta Gladiators,20.0,6.75,2,Lahore Qalandars,Karachi,135,8,2023-02-21,2023,False
Quetta Gladiators,18.4,7.23,2,Islamabad United,Karachi,135,10,2024-03-15,2024,False
Quetta Gladiators,20.0,6.8,1,Lahore Qalandars,Dubai (DICS),136,9,2017-02-10,2017,True
Peshawar Zalmi,20.0,6.8,1,Islamabad United,Sharjah,136,9,2017-02-18,2017,False
Islamabad United,20.0,6.8,1,Karachi Kings,Karachi,136,6,2020-03-14,2020,False
Quetta Gladiators,20.0,6.8,2,Peshawar Zalmi,Abu Dhabi,136,9,2021-06-12,2021,False
Lahore Qalandars,17.2,7.84,2,Multan Sultans,Dubai (DICS),136,10,2018-02-23,2018,False
Islamabad United,20.0,6.85,2,Peshawar Zalmi,Sharjah,137,5,2017-02-18,2017,True
Karachi Kings,20.0,6.85,2,Peshawar Zalmi,Sharjah,137,8,2018-03-15,2018,False
Islamabad United,20.0,6.85,2,Quetta Gladiators,Abu Dhabi,137,9,2019-03-05,2019,False
Lahore Qalandars,20.0,6.9,1,Karachi Kings,Dubai (DICS),138,6,2019-02-16,2019,True
Peshawar Zalmi,20.0,6.9,1,Quetta Gladiators,Karachi,138,8,2019-03-17,2019,False
Lahore Qalandars,20.0,6.9,1,Multan Sultans,Lahore,138,8,2020-02-21,2020,False
Karachi Kings,20.0,6.9,2,Peshawar Zalmi,Lahore,138,6,2022-02-13,2022,False
Islamabad United,20.0,6.9,1,Quetta Gladiators,Lahore,138,9,2024-02-22,2024,False
Multan Sultans,19.3,7.07,2,Lahore Qalandars,Lahore,138,10,2022-02-27,2022,False
Islamabad United,17.5,7.73,2,Multan Sultans,Multan,138,10,2023-02-19,2023,False
Lahore Qalandars,20.0,7.0,1,Multan Sultans,Karachi,140,8,2019-03-11,2019,False
Peshawar Zalmi,20.0,7.0,1,Lahore Qalandars,Karachi,140,6,2021-02-21,2021,False
Peshawar Zalmi,19.3,7.17,2,Multan Sultans,Lahore,140,10,2022-02-10,2022,False
Lahore Qalandars,18.0,7.77,2,Quetta Gladiators,Abu Dhabi,140,10,2021-06-15,2021,False
Quetta Gladiators,20.0,7.05,1,Peshawar Zalmi,Sharjah,141,8,2018-03-01,2018,False
Karachi Kings,20.0,7.05,2,Multan Sultans,Karachi,141,8,2020-11-14,2020,False
Multan Sultans,20.0,7.05,1,Karachi Kings,Karachi,141,7,2020-11-14,2020,False
