team,overs,rr,inns,opposition,ground,runs,wickets,match_date,match_year,won
Multan Sultans,20.0,13.1,1,Quetta Gladiators,Rawalpindi,262,3,2023-03-11,2023,True
Quetta Gladiators,20.0,12.65,2,Multan Sultans,Rawalpindi,253,8,2023-03-11,2023,False
Islamabad United,20.0,12.35,1,Peshawar Zalmi,Abu Dhabi,247,2,2021-06-17,2021,True
Multan Sultans,20.0,12.25,1,Quetta Gladiators,Lahore,245,3,2022-02-18,2022,True
Multan Sultans,19.1,12.73,2,Peshawar Zalmi,Rawalpindi,244,6,2023-03-10,2023,True
Quetta Gladiators,18.2,13.25,2,Peshawar Zalmi,Rawalpindi,243,2,2023-03-08,2023,True
Peshawar Zalmi,20.0,12.1,1,Multan Sultans,Rawalpindi,242,6,2023-03-10,2023,False
Lahore Qalandars,20.0,12.05,1,Peshawar Zalmi,Lahore,241,3,2023-02-26,2023,True
Peshawar Zalmi,20.0,12.0,1,Quetta Gladiators,Rawalpindi,240,2,2023-03-08,2023,False
Islamabad United,20.0,11.9,1,Lahore Qalandars,Karachi,238,3,2019-03-09,2019,True
Islamabad United,20.0,11.6,2,Multan Sultans,Rawalpindi,232,7,2024-03-10,2024,True
Peshawar Zalmi,20.0,11.6,2,Islamabad United,Abu Dhabi,232,6,2021-06-17,2021,False
Islamabad United,20.0,11.45,1,Quetta Gladiators,Karachi,229,4,2022-02-03,2022,True
Multan Sultans,20.0,11.4,1,Islamabad United,Rawalpindi,228,4,2024-03-10,2024,False
Lahore Qalandars,20.0,11.3,1,Islamabad United,Rawalpindi,226,5,2023-03-09,2023,True
Multan Sultans,20.0,11.1,1,Peshawar Zalmi,Karachi,222,3,2022-02-05,2022,True
Islamabad United,20.0,11.0,1,Quetta Gladiators,Karachi,220,6,2023-02-24,2023,True
Multan Sultans,20.0,10.85,1,Islamabad United,Karachi,217,5,2022-02-01,2022,True
Peshawar Zalmi,20.0,10.7,1,Islamabad United,Karachi,214,5,2019-03-15,2019,True
Multan Sultans,20.0,10.7,1,Lahore Qalandars,Lahore,214,4,2024-02-27,2024,True
Peshawar Zalmi,20.0,10.55,1,Lahore Qalandars,Lahore,211,4,2024-02-25,2024,True
Multan Sultans,20.0,10.5,1,Peshawar Zalmi,Multan,210,3,2023-02-17,2023,True
Multan Sultans,19.4,10.62,2,Lahore Qalandars,Karachi,209,5,2022-01-29,2022,True
Islamabad United,19.5,10.53,2,Multan Sultans,Rawalpindi,209,8,2023-03-07,2023,True
Lahore Qalandars,20.0,10.45,1,Quetta Gladiators,Lahore,209,5,2020-03-03,2020,True
Quetta Gladiators,19.3,10.61,2,Lahore Qalandars,Karachi,207,3,2022-02-07,2022,True
Peshawar Zalmi,19.3,10.61,1,Lahore Qalandars,Rawalpindi,207,10,2023-03-07,2023,True
Lahore Qalandars,20.0,10.3,1,Multan Sultans,Karachi,206,5,2022-01-29,2022,False
Peshawar Zalmi,20.0,10.3,1,Islamabad United,Lahore,206,8,2022-02-17,2022,True
Quetta Gladiators,20.0,10.3,1,Peshawar Zalmi,Lahore,206,5,2024-02-18,2024,True
Multan Sultans,20.0,10.3,1,Peshawar Zalmi,Abu Dhabi,206,4,2021-06-24,2021,True
Multan Sultans,20.0,10.25,1,Islamabad United,Rawalpindi,205,5,2023-03-07,2023,False
Islamabad United,19.2,10.55,2,Karachi Kings,Rawalpindi,204,4,2023-03-03,2023,True
Lahore Qalandars,20.0,10.2,1,Quetta Gladiators,Karachi,204,5,2022-02-07,2022,False
Lahore Qalandars,20.0,10.2,2,Multan Sultans,Sharjah,204,4,2019-02-22,2019,True
Peshawar Zalmi,20.0,10.2,1,Multan Sultans,Rawalpindi,204,5,2024-03-05,2024,True
Quetta Gladiators,19.4,10.32,2,Islamabad United,Lahore,203,5,2022-02-12,2022,True
Peshawar Zalmi,20.0,10.15,1,Karachi Kings,Karachi,203,7,2019-03-11,2019,True
Lahore Qalandars,20.0,10.15,2,Peshawar Zalmi,Lahore,203,6,2024-02-25,2024,False
Quetta Gladiators,20.0,10.15,2,Lahore Qalandars,Dubai (DICS),203,8,2016-02-16,2016,True
Quetta Gladiators,18.5,10.72,2,Lahore Qalandars,Sharjah,202,5,2017-02-18,2017,True
Peshawar Zalmi,19.3,10.35,2,Quetta Gladiators,Karachi,202,7,2021-02-26,2021,True
Karachi Kings,20.0,10.05,1,Peshawar Zalmi,Karachi,201,4,2020-02-21,2020,True
Peshawar Zalmi,20.0,10.05,2,Lahore Qalandars,Lahore,201,9,2023-02-26,2023,False
Peshawar Zalmi,20.0,10.05,1,Islamabad United,Lahore,201,5,2024-02-26,2024,True
Karachi Kings,20.0,10.05,1,Islamabad United,Rawalpindi,201,5,2023-03-03,2023,False
Lahore Qalandars,20.0,10.05,1,Quetta Gladiators,Dubai (DICS),201,2,2016-02-16,2016,False
Islamabad United,18.2,10.9,2,Lahore Qalandars,Lahore,200,2,2024-02-17,2024,True
Lahore Qalandars,20.0,10.0,1,Islamabad United,Lahore,200,7,2023-02-27,2023,True
Lahore Qalandars,20.0,10.0,1,Multan Sultans,Lahore,200,6,2023-03-18,2023,True
Lahore Qalandars,20.0,10.0,1,Quetta Gladiators,Sharjah,200,3,2017-02-18,2017,False
Quetta Gladiators,20.0,10.0,1,Peshawar Zalmi,Sharjah,200,7,2017-02-28,2017,True
Multan Sultans,20.0,10.0,1,Lahore Qalandars,Sharjah,200,6,2019-02-22,2019,False
Multan Sultans,20.0,10.0,2,Peshawar Zalmi,Rawalpindi,200,5,2024-03-05,2024,False
Lahore Qalandars,20.0,9.95,1,Peshawar Zalmi,Karachi,199,4,2022-02-02,2022,True
Peshawar Zalmi,20.0,9.95,1,Karachi Kings,Karachi,199,5,2023-02-14,2023,True
Islamabad United,20.0,9.95,1,Quetta Gladiators,Lahore,199,8,2022-02-12,2022,False
Multan Sultans,20.0,9.95,2,Lahore Qalandars,Lahore,199,8,2023-03-18,2023,False
