matches,innings,catches,max_in_match,catches_per_inn,player_name,teams_played,span_start,span_end,career_yrs
22,16,6,2,0.375,Sahibzada Farhan,IU/KK/LQ,2018,2024,6
17,17,6,2,0.352,Asad Shafiq,MS/QG,2016,2020,4
20,20,6,2,0.3,Mir Hamza,KK/QG,2016,2024,8
22,21,6,1,0.285,Imam-ul-Haq,PZ,2019,2021,2
23,23,6,2,0.26,Sikandar Raza,KK/LQ,2019,2024,5
29,29,6,1,0.206,Abbas Afridi,KK/MS,2021,2024,3
39,39,6,1,0.153,Mohammad Hasnain,QG,2019,2024,5
10,10,5,2,0.5,HC Brook,LQ,2022,2022,0
10,10,5,2,0.5,WCF Smeed,QG,2022,2023,1
27,10,5,2,0.5,CAK Walton,IU/KK,2018,2021,3
12,12,5,2,0.416,Imran Khalid,IU,2016,2017,1
