matches,innings,balls,overs,maidens,runs_conceded,wickets,bowling_avg,economy,bowling_sr,four_wicket_hauls,five_wicket_hauls,player_name,teams_played,span_start,span_end,career_yrs,bbi_wkts,bbi_runs,wickets_per_match,wickets_per_over,tightness_score,bowl_impact_score,is_match_winner,num_teams
23,23,492,82.0,0,711,26,27.34,8.67,18.92,0,0,Sameen Gul,MS/PZ,2018,2023,5,3,29,1.13,0.317,27.7,43.55,False,2
27,25,552,92.0,1,780,26,30.0,8.47,21.23,0,0,Junaid Khan,MS/PZ,2016,2020,4,3,24,0.963,0.283,29.4,42.02,False,2
24,24,500,83.2,2,769,25,30.76,9.22,20.0,0,0,Arshad Iqbal,KK/PZ,2020,2023,3,3,16,1.042,0.3,23.2,39.07,False,2
59,30,406,67.4,1,483,24,20.12,7.13,16.91,1,0,Khushdil Shah,MS/PZ,2017,2024,7,4,35,0.407,0.355,40.6,53.12,False,2
34,33,584,97.2,2,866,24,36.08,8.89,24.33,0,0,Aamer Yamin,KK/LQ/PZ,2016,2023,7,3,17,0.706,0.247,25.9,35.58,False,3
14,14,294,49.0,2,370,23,16.08,7.55,12.78,0,1,Ihsanullah,MS,2022,2023,1,5,12,1.643,0.469,37.1,55.14,True,1
20,19,378,63.0,0,544,23,23.65,8.63,16.43,1,0,Mir Hamza,KK/QG,2016,2024,8,4,27,1.15,0.365,28.1,45.39,False,2
46,26,444,74.0,0,612,23,26.6,8.27,19.3,1,0,SR Watson,IU/QG,2016,2020,4,4,44,0.5,0.311,31.1,44.07,False,2
23,23,533,88.5,0,656,23,28.52,7.38,23.17,0,0,Fawad Ahmed,IU/LQ/QG,2019,2022,3,3,15,1.0,0.259,38.5,44.42,False,3
17,17,390,65.0,0,508,22,23.09,7.81,17.72,0,0,Abrar Ahmed,IU/KK/PZ/QG,2017,2024,7,3,14,1.294,0.338,34.9,47.87,False,4
21,20,378,63.0,0,589,22,26.77,9.34,17.18,0,0,Mohammad Irfan,KK/LQ/QG,2017,2019,2,3,26,1.048,0.349,22.2,40.44,False,3
22,20,400,66.4,2,642,22,29.18,9.63,18.18,0,0,Muhammad Musa,IU/KK,2019,2023,4,3,18,1.0,0.33,19.7,37.8,False,2
15,15,328,54.4,0,426,21,20.28,7.79,15.61,0,0,B Muzarabani,KK/MS,2021,2024,3,3,18,1.4,0.384,35.1,49.95,False,2
19,17,332,55.2,0,483,21,23.0,8.72,15.8,0,0,AD Russell,IU/MS/QG,2016,2021,5,3,18,1.105,0.38,27.3,44.85,False,3
21,21,382,63.4,1,489,21,23.28,7.68,18.19,0,0,Mohammad Asghar,PZ,2016,2018,2,3,16,1.0,0.33,36.0,47.64,False,1
33,29,507,84.3,2,658,21,31.33,7.78,24.14,0,0,LA Dawson,IU/LQ/PZ,2018,2023,5,3,16,0.636,0.249,35.2,40.47,False,3
17,17,396,66.0,0,411,20,20.55,6.22,19.8,0,0,SP Narine,LQ,2017,2018,1,3,28,1.176,0.303,48.2,53.13,False,1
12,12,264,44.0,0,352,19,18.52,8.0,13.89,0,0,JP Faulkner,LQ/QG,2021,2022,1,3,19,1.583,0.432,33.3,50.0,False,2
12,12,258,43.0,1,354,19,18.63,8.23,13.57,0,0,Mohammad Ali,MS,2024,2024,0,3,19,1.583,0.442,31.4,49.15,False,1
17,15,306,51.0,0,397,19,20.89,7.78,16.1,0,0,Umer Khan,KK,2019,2020,1,3,22,1.118,0.373,35.2,48.69,False,1
12,12,237,39.3,0,324,18,18.0,8.2,13.16,1,0,Khurram Shahzad,PZ/QG,2021,2024,3,4,22,1.5,0.456,31.7,49.38,False,2
17,16,278,46.2,0,389,18,21.61,8.39,15.44,1,0,Zafar Gohar,IU/LQ,2016,2022,6,4,14,1.059,0.388,30.1,45.83,False,2
16,15,297,49.3,0,420,18,23.33,8.48,16.5,1,0,Akif Javed,IU/KK,2020,2023,3,4,28,1.125,0.364,29.3,44.18,False,2
78,35,445,74.1,1,510,18,28.33,6.87,24.72,0,0,Mohammad Hafeez,LQ/PZ/QG,2016,2023,7,2,7,0.231,0.243,42.8,43.44,False,3
22,20,368,61.2,0,587,18,32.61,9.57,20.44,1,0,Amad Butt,IU/PZ,2017,2022,5,4,27,0.818,0.293,20.2,34.05,False,2
8,8,175,29.1,0,267,17,15.7,9.15,10.29,0,0,S Mahmood,PZ,2020,2022,2,3,12,2.125,0.583,23.7,47.22,False,1
91,49,653,108.5,0,757,17,44.52,6.95,38.41,0,0,Shoaib Malik,KK/MS/PZ,2016,2024,8,3,16,0.187,0.156,42.1,27.34,False,3
13,13,306,51.0,0,406,16,25.37,7.96,19.12,1,0,AJ Hosein,MS/QG,2023,2024,1,4,23,1.231,0.314,33.7,43.21,False,2
15,15,312,52.0,0,473,16,29.56,9.09,19.5,0,0,Usman Qadir,MS/PZ,2020,2023,3,3,25,1.067,0.308,24.3,36.85,False,2
28,28,464,77.2,0,583,16,36.43,7.53,29.0,0,0,Hassan Khan,LQ/QG,2017,2022,5,2,10,0.571,0.207,37.2,34.42,False,2
13,13,204,34.0,0,249,15,16.6,7.32,13.6,2,0,GD Elliott,LQ/QG,2016,2017,1,4,15,1.154,0.441,39.0,52.36,True,2
12,12,225,37.3,0,316,15,21.06,8.42,15.0,1,0,Dilbar Hussain,LQ,2020,2023,3,4,24,1.25,0.4,29.8,45.02,False,1
39,19,270,45.0,0,393,15,26.2,8.73,18.0,0,1,RS Bopara,KK/MS/PZ,2016,2021,5,6,16,0.385,0.333,27.2,40.03,True,3
15,15,323,53.5,0,459,15,30.6,8.52,21.53,0,0,Zahid Mahmood,IU/KK/QG,2020,2024,4,2,17,1.0,0.279,29.0,37.19,False,3
61,24,306,51.0,0,463,15,30.86,9.07,20.4,0,0,Hussain Talat,IU/LQ/PZ,2017,2024,7,2,18,0.246,0.294,24.4,35.57,False,3
18,18,432,72.0,2,499,15,33.26,6.93,28.8,0,0,Zulfiqar Babar,QG,2016,2017,1,2,17,0.833,0.208,42.2,37.41,False,1
14,14,274,45.4,0,463,14,33.07,10.13,19.57,0,0,Aamer Jamal,PZ,2023,2024,1,3,43,1.0,0.307,15.6,30.54,False,1
10,9,198,33.0,0,263,13,20.23,7.96,15.23,0,1,Umar Gul,MS/QG,2016,2018,2,6,24,1.3,0.394,33.7,46.4,True,2
27,13,196,32.4,0,356,13,27.38,10.89,15.07,0,0,BCJ Cutting,KK/PZ/QG,2020,2023,3,3,31,0.481,0.398,9.2,31.2,False,3
10,10,228,38.0,1,371,13,28.53,9.76,17.53,0,0,Naveen-ul-Haq,PZ/QG,2023,2024,1,2,22,1.3,0.342,18.7,34.38,False,2
12,12,278,46.2,1,394,13,30.3,8.5,21.38,0,0,L Wood,PZ/QG,2022,2024,2,2,13,1.083,0.281,29.2,36.69,False,2
53,24,310,51.4,0,454,13,34.92,8.78,23.84,0,0,KA Pollard,KK/MS/PZ,2017,2024,7,3,37,0.245,0.252,26.8,32.47,False,3
10,10,214,35.4,1,308,12,25.66,8.63,17.83,0,0,Imran Khan,MS,2021,2022,1,3,24,1.2,0.336,28.1,39.59,False,1
18,17,293,48.5,1,425,12,35.41,8.7,24.41,0,0,CR Brathwaite,LQ/MS/PZ,2019,2024,5,3,28,0.667,0.246,27.5,31.87,False,3
70,33,318,53.0,0,451,12,37.58,8.5,26.5,0,0,Iftikhar Ahmed,IU/KK/MS/PZ/QG,2016,2024,8,2,4,0.171,0.226,29.2,30.59,False,5
6,6,139,23.1,0,183,11,16.63,7.89,12.63,0,0,Fazalhaq Farooqi,IU,2023,2023,0,3,25,1.833,0.475,34.2,48.91,False,1
7,7,148,24.4,0,189,11,17.18,7.66,13.45,1,0,S Lamichhane,LQ,2019,2019,0,4,10,1.571,0.446,36.2,49.2,False,1
10,10,157,26.1,0,235,11,21.36,8.98,14.27,0,0,NLTC Perera,KK/QG,2017,2021,4,3,34,1.1,0.42,25.2,41.35,False,2
11,11,226,37.4,0,386,11,35.09,10.24,20.54,0,0,Ghulam Mudassar,LQ/QG,2017,2022,5,3,21,1.0,0.292,14.7,27.73,False,2
14,14,306,51.0,0,425,11,38.63,8.33,27.81,0,0,DJ Bravo,LQ/QG,2016,2019,3,3,19,0.786,0.216,30.6,29.63,False,2
12,11,169,28.1,1,199,10,19.9,7.06,16.9,1,0,Imran Khalid,IU,2016,2017,1,4,20,0.833,0.355,41.2,48.11,False,1
6,6,140,23.2,0,229,10,22.9,9.81,14.0,0,0,Azmatullah Omarzai,PZ,2023,2023,0,3,28,1.667,0.429,18.2,36.91,False,1
8,8,186,31.0,0,260,10,26.0,8.38,18.6,0,0,T Shamsi,KK,2023,2024,1,3,18,1.25,0.323,30.2,39.28,False,1
9,9,210,35.0,1,262,10,26.2,7.48,21.0,0,0,SW Tait,PZ,2016,2016,0,2,23,1.111,0.286,37.7,41.32,False,1
39,14,191,31.5,0,289,10,28.9,9.07,19.1,0,0,CS Delport,IU/KK/LQ/QG,2016,2021,5,3,18,0.256,0.314,24.4,35.1,False,4
23,18,239,39.5,1,329,10,32.9,8.25,23.9,0,0,Sikandar Raza,KK/LQ,2019,2024,5,2,6,0.435,0.251,31.2,34.04,False,2
10,10,209,34.5,0,330,10,33.0,9.47,20.9,0,0,Mohammad Umar,KK/MS/PZ,2021,2023,2,3,22,1.0,0.287,21.1,30.98,False,3
15,15,327,54.3,0,474,10,47.4,8.69,32.7,0,0,Mohammad Imran,KK/LQ/PZ,2021,2024,3,2,47,0.667,0.183,27.6,21.89,False,3
22,21,416,69.2,0,505,10,50.5,7.28,41.6,0,0,Mohammad Nabi,KK/QG,2016,2022,6,2,17,0.455,0.144,39.3,19.34,False,2
8,8,144,24.0,0,178,9,19.77,7.41,16.0,0,0,Ibtisam Sheikh,PZ,2018,2019,1,3,20,1.125,0.375,38.2,46.89,False,1
30,11,162,27.0,0,206,9,22.88,7.62,18.0,0,0,Saim Ayub,PZ/QG,2021,2024,3,2,15,0.3,0.333,36.5,43.56,False,2
13,10,137,22.5,0,247,9,27.44,10.81,15.22,0,0,DT Christian,KK/MS,2019,2021,2,3,19,0.692,0.394,9.9,29.91,False,2
6,6,138,23.0,0,247,9,27.44,10.73,15.33,0,0,Qais Ahmad,QG,2021,2023,2,3,21,1.5,0.391,10.6,30.21,False,1
