matches,innings,not_outs,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,fours,sixes,player_name,teams_played,span_start,span_end,career_yrs,hs_not_out
15,15,1,318,62.0,22.71,199,159.79,0,1,1,28,21,Rahmanullah Gurbaz,IU/MS,2021,2023,2,False
25,25,3,631,64.0,28.68,516,122.28,0,5,2,58,20,DJ Malan,IU/MS/PZ,2016,2024,8,False
33,27,4,471,62.0,20.47,376,125.26,0,2,2,32,19,LA Dawson,IU/LQ/PZ,2018,2023,5,False
50,36,14,323,28.0,14.68,229,141.04,0,0,0,19,19,Anwar Ali,KK/MS/QG,2016,2024,8,True
12,12,0,382,77.0,31.83,250,152.8,0,4,2,45,18,Hazratullah Zazai,PZ,2021,2022,1,False
13,13,2,512,104.0,46.54,351,145.86,1,3,0,41,18,HE van der Dussen,IU/LQ,2023,2024,1,True
18,16,1,435,57.0,29.0,283,153.71,0,3,2,45,18,J Charles,MS,2019,2024,5,False
29,22,6,507,61.0,31.68,453,111.92,0,2,0,42,18,Misbah-ul-Haq,IU/PZ,2016,2019,3,True
39,36,9,775,71.0,28.7,658,117.78,0,5,1,63,18,RS Bopara,KK/MS/PZ,2016,2021,5,True
12,12,1,318,113.0,28.9,183,173.77,1,1,2,38,17,CA Lynn,LQ/MS,2020,2021,1,True
24,23,1,613,65.0,27.86,485,126.39,0,5,2,64,17,KC Sangakkara,KK/MS/QG,2016,2018,2,False
27,26,2,529,64.0,22.04,441,119.95,0,3,0,46,17,Agha Salman,IU/LQ,2018,2024,6,True
22,18,4,350,67.0,25.0,245,142.85,0,2,1,31,16,Mohammad Nabi,KK/QG,2016,2022,6,False
10,10,1,323,88.0,35.88,228,141.66,0,2,1,31,15,Saud Shakeel,QG,2024,2024,0,True
17,15,2,214,28.0,16.46,130,164.61,0,0,1,17,15,SP Narine,LQ,2017,2018,1,False
17,17,4,327,73.0,25.15,250,130.8,0,4,2,25,15,BJ Haddin,IU,2016,2017,1,False
18,17,2,311,44.0,20.73,272,114.33,0,0,3,28,15,BB McCullum,LQ,2017,2018,1,False
23,22,7,337,71.0,22.46,230,146.52,0,1,1,29,15,Sikandar Raza,KK/LQ,2019,2024,5,True
20,20,4,605,80.0,37.81,535,113.08,0,4,0,61,14,Tamim Iqbal,LQ/PZ,2016,2020,4,True
61,37,18,321,36.0,16.89,295,108.81,0,0,2,22,14,Sohail Tanvir,KK/LQ/MS/QG,2016,2022,6,True
88,54,21,359,33.0,10.87,280,128.21,0,0,10,31,14,Wahab Riaz,PZ,2016,2023,7,True
13,12,1,295,54.0,26.81,215,137.2,0,2,1,25,13,JM Clarke,KK,2021,2022,1,False
19,18,1,444,73.0,26.11,335,132.53,0,3,0,49,13,Ahsan Ali,QG,2019,2022,3,False
20,19,3,402,78.0,25.12,306,131.37,0,2,2,38,13,SW Billings,IU/LQ,2016,2023,7,True
22,21,3,457,72.0,25.38,381,119.94,0,3,1,49,13,Sahibzada Farhan,IU/KK/LQ,2018,2024,6,True
22,22,0,542,59.0,24.63,436,124.31,0,5,2,50,13,Imam-ul-Haq,PZ,2019,2021,2,False
10,10,0,279,70.0,27.9,205,136.09,0,2,0,26,12,AP Devcich,LQ,2018,2019,1,False
10,10,0,266,58.0,26.6,160,166.25,0,3,0,33,12,PR Stirling,IU,2021,2023,2,False
21,20,1,419,55.0,22.05,361,116.06,0,1,1,36,12,Kamran Ghulam,IU/LQ,2016,2024,8,True
10,8,3,264,102.0,52.8,154,171.42,1,0,0,23,11,HC Brook,LQ,2022,2022,0,True
10,10,0,315,99.0,31.5,234,134.61,0,2,1,36,11,WCF Smeed,QG,2022,2023,1,False
14,13,1,354,79.0,29.5,287,123.34,0,3,2,42,11,JL Denly,KK/LQ,2018,2021,3,True
34,16,3,153,35.0,11.76,115,133.04,0,0,3,8,11,Aamer Yamin,KK/LQ/PZ,2016,2023,7,True
19,17,2,173,35.0,11.53,128,135.15,0,0,1,14,11,AD Russell,IU/MS/QG,2016,2021,5,True
47,18,9,151,25.0,16.77,94,160.63,0,0,3,11,11,Umaid Asif,KK/PZ/QG,2018,2023,5,False
28,20,9,203,27.0,18.45,147,138.09,0,0,3,16,11,Rashid Khan,LQ,2021,2023,2,True
82,40,12,251,45.0,8.96,183,137.15,0,0,3,20,11,Hasan Ali,IU/KK/PZ,2016,2024,8,False
12,8,3,139,33.0,27.8,80,173.75,0,0,0,7,10,JP Faulkner,LQ/QG,2021,2022,1,False
11,9,1,235,73.0,29.37,163,144.17,0,2,0,19,10,DA Miller,MS/PZ,2021,2023,2,False
12,12,0,260,54.0,21.66,211,123.22,0,1,0,30,10,Mirza Baig,LQ,2023,2024,1,False
14,13,5,167,87.0,20.87,110,151.81,0,1,0,15,10,Aamer Jamal,PZ,2023,2024,1,False
9,7,1,206,59.0,34.33,173,119.07,0,1,0,11,9,Khalid Latif,IU,2016,2016,0,False
7,7,1,171,71.0,28.5,126,135.71,0,2,1,11,9,Najibullah Zadran,KK/QG,2021,2023,2,True
8,8,1,304,79.0,43.42,226,134.51,0,3,0,34,9,RR Hendricks,MS,2024,2024,0,True
33,20,7,145,17.0,11.15,119,121.84,0,0,1,10,9,Mohammad Wasim,IU/QG,2021,2024,3,True
44,24,7,144,32.0,8.47,149,96.64,0,0,4,7,9,Sohail Khan,KK/LQ/MS/PZ/QG,2016,2024,8,False
7,7,0,169,53.0,24.14,150,112.66,0,1,0,13,8,Umar Siddiq,MS,2019,2019,0,False
