team,overs,rr,inns,opposition,ground,runs,wickets,match_date,match_year,won,run_rate,is_explosive,innings_type,explosive_win,era
Multan Sultans,20.0,13.1,1,Quetta Gladiators,Rawalpindi,262,3,2023-03-11,2023,True,13.1,True,Batting First,True,Modern PSL (2022-24)
Quetta Gladiators,20.0,12.65,2,Multan Sultans,Rawalpindi,253,8,2023-03-11,2023,False,12.65,True,Chasing,False,Modern PSL (2022-24)
Islamabad United,20.0,12.35,1,Peshawar Zalmi,Abu Dhabi,247,2,2021-06-17,2021,True,12.35,True,Batting First,True,Mid PSL (2019-21)
Multan Sultans,20.0,12.25,1,Quetta Gladiators,Lahore,245,3,2022-02-18,2022,True,12.25,True,Batting First,True,Modern PSL (2022-24)
Multan Sultans,19.1,12.73,2,Peshawar Zalmi,Rawalpindi,244,6,2023-03-10,2023,True,12.73,True,Chasing,True,Modern PSL (2022-24)
Quetta Gladiators,18.2,13.25,2,Peshawar Zalmi,Rawalpindi,243,2,2023-03-08,2023,True,13.25,True,Chasing,True,Modern PSL (2022-24)
Peshawar Zalmi,20.0,12.1,1,Multan Sultans,Rawalpindi,242,6,2023-03-10,2023,False,12.1,True,Batting First,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,12.05,1,Peshawar Zalmi,Lahore,241,3,2023-02-26,2023,True,12.05,True,Batting First,True,Modern PSL (2022-24)
Peshawar Zalmi,20.0,12.0,1,Quetta Gladiators,Rawalpindi,240,2,2023-03-08,2023,False,12.0,True,Batting First,False,Modern PSL (2022-24)
Islamabad United,20.0,11.9,1,Lahore Qalandars,Karachi,238,3,2019-03-09,2019,True,11.9,False,Batting First,False,Mid PSL (2019-21)
Islamabad United,20.0,11.6,2,Multan Sultans,Rawalpindi,232,7,2024-03-10,2024,True,11.6,False,Chasing,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,11.6,2,Islamabad United,Abu Dhabi,232,6,2021-06-17,2021,False,11.6,False,Chasing,False,Mid PSL (2019-21)
Islamabad United,20.0,11.45,1,Quetta Gladiators,Karachi,229,4,2022-02-03,2022,True,11.45,False,Batting First,False,Modern PSL (2022-24)
Multan Sultans,20.0,11.4,1,Islamabad United,Rawalpindi,228,4,2024-03-10,2024,False,11.4,False,Batting First,False,Modern PSL (2022-24)
Lahore Qalandars,20.0,11.3,1,Islamabad United,Rawalpindi,226,5,2023-03-09,2023,True,11.3,False,Batting First,False,Modern PSL (2022-24)
Multan Sultans,20.0,11.1,1,Peshawar Zalmi,Karachi,222,3,2022-02-05,2022,True,11.1,False,Batting First,False,Modern PSL (2022-24)
Islamabad United,20.0,11.0,1,Quetta Gladiators,Karachi,220,6,2023-02-24,2023,True,11.0,False,Batting First,False,Modern PSL (2022-24)
Multan Sultans,20.0,10.85,1,Islamabad United,Karachi,217,5,2022-02-01,2022,True,10.85,False,Batting First,False,Modern PSL (2022-24)
Peshawar Zalmi,20.0,10.7,1,Islamabad United,Karachi,214,5,2019-03-15,2019,True,10.7,False,Batting First,False,Mid PSL (2019-21)
Multan Sultans,20.0,10.7,1,Lahore Qalandars,Lahore,214,4,2024-02-27,2024,True,10.7,False,Batting First,False,Modern PSL (2022-24)
